nu,X,Y
1.0,8.88e-3,33.33e-3
1.5,13.06e-3,38.33e-3
2.0,17.97e-3,41.87e-3
2.5,23.22e-3,43.95e-3
3.0,28.32e-3,44.46e-3
3.5,32.81e-3,43.70e-3
4.0,36.83e-3,42.11e-3
4.5,40.07e-3,40.34e-3
5.0,42.97e-3,38.02e-3
5.5,44.95e-3,35.55e-3
6.0,46.33e-3,32.96e-3
6.5,47.45e-3,30.67e-3
7.0,48.37e-3,28.32e-3
7.5,49.10e-3,26.25e-3
8.0,49.62e-3,24.23e-3
8.5,49.74e-3,22.25e-3
9.0,49.71e-3,20.39e-3
9.5,49.44e-3,18.55e-3
10.0,46.75e-3,16.60e-3
11.0,45.82e-3,13.73e-3
12.0,45.07e-3,11.32e-3
13.0,44.19e-3,9.28e-3
14.0,42.91e-3,7.42e-3
15.0,41.87e-3,5.86e-3
16.0,40.62e-3,4.46e-3
17.0,39.64e-3,3.27e-3
18.0,38.73e-3,2.20e-3
19.0,37.78e-3,1.28e-3
20.0,36.83e-3,0.43e-3
22.5,34.52e-3,-1.25e-3
25.0,32.44e-3,-2.56e-3
27.5,30.61e-3,-3.54e-3
30.0,28.84e-3,-4.30e-3
35.0,25.94e-3,-5.37e-3
40.0,23.50e-3,-6.04e-3
45.0,21.51e-3,-6.47e-3
50.0,19.20e-3,-6.71e-3
55.0,18.04e-3,-6.84e-3
60.0,16.72e-3,-6.87e-3
65.0,15.53e-3,-6.93e-3
70.0,14.53e-3,-6.90e-3
75.0,13.61e-3,-6.84e-3
80.0,12.79e-3,-6.77e-3
85.0,12.02e-3,-6.69e-3
90.0,11.41e-3,-6.62e-3
95.0,10.93e-3,-6.59e-3
100.0,10.28e-3,-6.50e-3
110.0,9.28e-3,-6.23e-3
120.0,8.45e-3,-6.01e-3
130.0,7.75e-3,-5.77e-3
140.0,7.17e-3,-5.58e-3
150.0,6.56e-3,-5.28e-3
160.0,6.10e-3,-5.16e-3
170.0,5.68e-3,-4.97e-3
180.0,5.31e-3,-4.79e-3
190.0,4.94e-3,-4.61e-3
200.0,4.64e-3,-4.43e-3
220.0,4.12e-3,-4.15e-3
240.0,3.72e-3,-3.91e-3
260.0,3.39e-3,-3.60e-3
280.0,3.08e-3,-3.48e-3
300.0,2.84e-3,-3.23e-3
350.0,2.35e-3,-2.84e-3
400.0,1.92e-3,-2.47e-3
450.0,1.65e-3,-2.23e-3
500.0,1.43e-3,-2.01e-3
550.0,1.28e-3,-1.83e-3
600.0,1.13e-3,-1.68e-3
650.0,1.04e-3,-1.53e-3
700.0,0.95e-3,-1.43e-3
750.0,0.85e-3,-1.34e-3
800.0,0.79e-3,-1.25e-3
850.0,0.73e-3,-1.16e-3
900.0,0.70e-3,-1.10e-3
950.0,0.64e-3,-1.04e-3
1.0e3,0.61e-3,-1.01e-3
