lvl;n0;n1;n2;n3;n4;n5;n6;n7;n8;n9
0.0;1425;1403;1423;1414;1415;1467;1419;1402;1437;1387
0.4;1473;1438;1438;1426;1504;1448;1420;1429;1403;1383
0.8;1185;1106;1079;1156;1120;1055;1111;1136;1103;1131
1.2;489;496;488;452;470;495;542;547;507;469
1.6;2580;2441;2598;2602;2570;2603;2466;2560;2552;2443
2.0;324;351;322;327;312;307;349;300;316;298
2.4;234;252;261;244;240;216;253;207;236;230
2.8;257;246;241;187;245;213;234;250;214;200
3.2;223;237;250;216;237;244;244;236;235;237
3.6;199;144;124;155;143;154;180;159;152;169
4.0;226;239;252;223;235;244;235;212;243;243
4.4;379;413;369;356;376;385;372;336;377;357
4.8;120;113;98;97;107;127;102;109;99;113
5.2;93;96;84;73;73;91;84;70;90;81
5.6;42;43;44;39;33;42;36;31;34;34
6.0;100;113;93;86;104;86;105;97;101;81
6.4;25;24;31;30;25;27;25;30;27;29
6.8;1;1;1;1;2;5;2;1;1;4
7.2;2;2;1;3;3;0;2;3;3;1
7.6;1;0;0;1;1;2;1;0;2;0
8.0;1;2;1;1;2;1;2;0;1;0
