I[mA], U[mv]
220, 40.8
221, 40.0
222, 39.8
223, 43.4
224, 45.1
225, 43.7
226, 49.7
227, 45.9
228, 52.3
229, 50.8
230, 48.6
231, 57.2
232, 49.7
233, 52.4
234, 48.7
235, 55.2
236, 58.1
237, 55.1
238, 60.0
239, 58.6
240, 60.6
241, 66.3
242, 59.9
243, 60.2
244, 66.4
245, 71.9
246, 62.4
247, 76.4
248, 79.3
249, 79.7
250, 79.9
251, 80.1
252, 83.7
253, 95.1
254, 98.7
255, 99.9
256, 101
257, 112
258, 120
259, 120
260, 128
261, 137
262, 147
263, 160
264, 180
265, 184
266, 210
267, 240
268, 256
269, 265
270, 300
271, 354
272, 377
273, 413
274, 493
275, 559
276, 600
277, 718
278, 800
279, 890
280, 1020
281, 1140
282, 1260
283, 1340
284, 1410
285, 1390
286, 1240
287, 1100
288, 842
289, 420
290, 100
291, -164
292, -620
293, -760
294, -1020
295, -1200
296, -1320
297, -1360
298, -1360
299, -1280
300, -1180
301, -1000
302, -917
303, -800
304, -660
305, -560
306, -475
307, -400
308, -380
309, -305
310, -259
311, -220
312, -197
313, -175
314, -140
315, -129
316, -101
317, -91.3
318, -80.0
319, -60.8
320, -60.6
321, -43.7
322, -40.4
323, -40.5
324, -25.8
325, -20.1
326, -15.6
327, -14.7
328, -4.54
329, -3.54
330, -1.64
331, -1.77
332, 0.5
333, 6.15
334, 2.48
335, 5.33
336, 1.85
337, 12.0
338, 10.6
339, 15.7
340, 16.4
